别名	水蕉花
别名	山冬笋
别名	樟柳头
别名	白石笋
别名	象甘蔗
别名	广东商陆
主治	中耳炎
主治	小便不利
主治	外用治荨麻疹
主治	疮疖肿毒
主治	百日咳
主治	肾炎水肿
主治	尿路感染
主治	肝硬化腹水
中药名	遍山红
别名	大坛子根
别名	映山红
别名	秤杆树
别名	三叶藤
别名	秤杆菜
别名	小煨罐
别名	大叶朝天罐
别名	暴牙郎
别名	满山红
别名	酒瓶果
别名	野楷杷
功能	消肿解毒
主治	月经过多
主治	湿热泻痢
主治	跌打肿痛
主治	疮肿
主治	尿血
主治	产后红崩
中药名	遍地金
别名	小化血
别名	小黄花香
别名	蚁药
别名	小化药
别名	小疳药
别名	千锤散
别名	苍蝇草
别名	地耳草
别名	蚂蚁草
别名	对叶草
别名	毒蛇草
别名	肝炎草
别名	大田基黄
别名	青鱼胆
别名	雀舌草
别名	痧子草
别名	锅巴草
别名	田基黄
功能	止泻
主治	外用治黄水疮
主治	小儿消化不良
主治	小儿肺炎
主治	小儿白口疮
主治	乳痛
主治	腹泻久痢
中药名	边缘鳞盖蕨
功能	祛风活络
主治	痈疮疖肿
中药名	败酱草
别名	龙芽败酱
别名	黄花败酱
别名	黄花龙牙
主治	实热瘀滞所致的胸腹疼痛
主治	症
主治	肠痈
主治	肺痈及疮痈肿毒
中药名	蝙蝠藤
别名	小葛香
别名	狗葡萄秧
别名	小青藤
别名	金百脚
别名	山地瓜秧
别名	黄根藤
别名	杨柳子棵
别名	什子苗
别名	爬山秧子
别名	黄攸香
别名	防己藤
主治	腹泻痢疾
主治	痔疮肿痛
主治	腰痛
中药名	蝙蝠葛
别名	狗屎豆
别名	金丝钓葫芦
别名	金线吊蛤蟆
别名	野鸡豆子
别名	黄条香
别名	马串铃
别名	防己葛
别名	黄藤根
别名	光光喳
别名	蝙蝠藤
别名	黄根
别名	嘎马得见农棍
别名	宁巴
别名	大叶马兜铃
中药名	蝙蝠
别名	夜燕
别名	盐老鼠
别名	伏翼
别名	服翼
别名	仙鼠
别名	蟙蟔
别名	天鼠
别名	飞鼠
别名	老鼠
分布	东北
功能	平肝明目
功能	止咳平喘
功能	利水通淋
主治	目翳
主治	久咳
主治	金疮
主治	喘息
主治	疟疾
主治	淋证
主治	淋病
主治	带下目昏
中药名	蚌壳草根
别名	大铁扫把
别名	咳嗽草
功能	退热除湿
功能	消疳
功能	除湿通络
功能	健脾消疳
功能	清热化痰
主治	感冒
主治	小儿疳积
主治	哮喘
主治	风湿性关节炎
主治	肺热咳咳嗽
主治	黄疸
主治	高热不退
中药名	蚌兰花
别名	菱角花
别名	州部队
别名	蚌兰衣
别名	紫万年青花
别名	荷包兰
别名	蚌花
别名	红蚌兰花
功能	解毒止痢
功能	清肺化痰
主治	肺热咳喘
主治	血痢
主治	鼻衄
主治	咯血
中药名	蚌兰叶
别名	紫万年青叶
别名	红蚌兰叶
别名	蚌花叶
功能	清热
功能	去瘀
功能	化瘀止血
主治	泻痢
主治	疮疖
主治	肺热咳嗽
主治	肺热燥咳
中药名	藨草
别名	光棍子
别名	光棍草
别名	野荸荠
别名	野荸蔼
功能	开胃消食
功能	开胃
主治	食积气滞
主治	呃逆饱胀
主治	热淋
主治	胃纳不佳
主治	饮食积滞
中药名	薜荔根
功能	舒筋通络
主治	闭经
主治	产后瘀血腹痛
主治	坐骨神经痛
主治	慢性肾炎
主治	头痛眩晕
主治	腰肌劳损
主治	慢性肠炎
主治	产后风
主治	关节风湿痛
中药名	薜荔果
别名	风不动
别名	凉粉果
别名	络石藤
别名	王不留行
别名	木馒头
别名	木莲
别名	爬墙虎
主治	乳汁不通
主治	遗精
主治	乳糜尿
主治	阳痿
中药名	薜荔
别名	木瓜藤
别名	墙壁藤
别名	薛荔络石藤
别名	石莲
别名	石绷藤
别名	彭蜂藤
别名	膨泡树
别名	乒抛藤
别名	木隆谷
别名	墙脚柱
别名	红墙套
别名	牛屎藤
别名	泊壁藤
别名	烟筒丕
别名	过水龙
别名	石龙藤
别名	小薛荔
别名	爬山虎
别名	补血王
别名	壁石虎
别名	巴山虎
别名	石壁藤
别名	牡赞
别名	常春藤
别名	凉粉藤
别名	爬岩风
别名	乒乓抛藤
别名	大鼓藤
别名	木壁莲
别名	田螺掩
别名	饼泡树
别名	辟萼
别名	薛
别名	老鸦馒头藤
别名	抬络藤
别名	追骨风
别名	石壁莲
别名	抱树莲
别名	爬墙藤
别名	邦邦老虎藤
别名	木莲藤
别名	有蜂藤
功能	活血
功能	利湿
功能	解毒消肿
主治	凤湿痹痛
主治	漆疮
主治	痛疮肿毒
主治	痈肿疮疖
主治	尿淋
主治	睾丸炎
中药名	薄雪草
别名	小白头翁
别名	小毛草
别名	火绒草
别名	小毛香
功能	润肺止咳
主治	肺燥咳嗽
中药名	薄荷脑
来源	中国药典
别名	薄荷冰
功能	疏风
主治	风热感冒
主治	头痛
主治	目赤
主治	齿痛
主治	皮肤或黏膜产生清凉感以减轻不适及疼痛
中药名	薄荷
别名	蔢荷
别名	蕃荷菜
别名	夜息花
别名	鱼香草
别名	水益母
别名	升阳菜
别名	香薷草
别名	见肿消
别名	土薄荷
别名	南薄荷
别名	吴菝蔺
别名	菝蕑
别名	夜息药
别名	接骨草
别名	薄苛
别名	升阳菜薄苛
别名	野薄荷
别名	吴菝蕑
别名	仁丹草
别名	猫儿薄苛
别名	菝蔺
功能	辟秽
功能	散风热
功能	解郁
功能	透疹
功能	散热
功能	利咽喉
功能	清头目
主治	瘾疹
主治	外感风热
主治	口疮
主治	食滞气胀
主治	风疹
主治	麻疹不透
主治	头痛目赤
主治	疮疥
主治	陷疹瘙痒
主治	肝郁胁痛
主治	风温初起
主治	胸胁胀闷
主治	风热表证
主治	麻疹
主治	喉痹
中药名	蓖麻
别名	红蓖麻
功能	止痒
主治	鲜品捣烂外敷
主治	并可灭蛆
主治	杀孑孓
主治	治湿疹搔痒
主治	煎水外洗
主治	疮疡肿毒
中药名	萹蓄
