方剂	方剂
中药名	大腹皮
剂量	2两半
功能主治	妇人经候不通
功能主治	已经2-3月者
处方	鳖甲汤_32
功能主治	气劳
功能主治	或冷或热
功能主治	多睡少起
功能主治	四肢沉重
处方	鳖甲汤_33
功能主治	疟疾寒热
处方	鳖甲汤_34
中药名	瞿麦穗
功能主治	妇人月水不调
功能主治	或不通利
功能主治	发即刺痛
来源	普济方
来源	幼幼新书
来源	全生指迷方
来源	伤寒总病论
来源	胎产心法
来源	外台
来源	千金翼
来源	名家方选
来源	圣济总录
来源	千金
别名	鳖甲恒山汤
别名	鳖甲散
方名	鳖甲桃仁煎丸
处方	鳖甲桃仁煎丸
中药名	青橘皮
功能主治	诸积
来源	杂类名方
方名	鳖甲柴胡汤
处方	鳖甲柴胡汤
中药名	独活
中药名	酸枣仁
功能主治	风虚劳倦
功能主治	四肢拘急
功能主治	遍身疼痛
方名	鳖甲散
处方	鳖甲散_1
中药名	青蒿
功能主治	主骨蒸劳热
功能主治	肌瘦
功能主治	舌红
功能主治	颊赤
处方	鳖甲散_2
中药名	高良姜
功能主治	腹内痃癖积聚
功能主治	心胸刺痛
功能主治	面无颜色
处方	鳖甲散_3
中药名	郁李仁
中药名	川大黄
功能主治	水症
功能主治	心下痞坚
功能主治	上气喘急
功能主治	眠卧不安
功能主治	大肠秘涩
处方	鳖甲散_4
中药名	厚朴
中药名	神曲
中药名	麦糵
功能主治	虚劳积聚
功能主治	或心腹疼痛
功能主治	四肢羸瘦
功能主治	不能饮食
处方	鳖甲散_5
剂量	6分
中药名	茯神
中药名	子芩
剂量	10分
中药名	橘皮
剂量	4分
剂量	8分
功能主治	小儿肚胀
功能主治	渐瘦不食
功能主治	四肢热不调
处方	鳖甲散_6
中药名	漏芦
中药名	牛蒡子
中药名	使君子
功能主治	项细肚大
功能主治	毛发干竖作穗
处方	鳖甲散_7
功能主治	腹内诸气胀满
功能主治	两胁痛
处方	鳖甲散_8
中药名	汉防己
中药名	泽泻
中药名	大麻仁
中药名	木通
功能主治	肾劳热
功能主治	四肢肿满
功能主治	小腹急痛
处方	鳖甲散_9
功能主治	伏梁
功能主治	气横在心下
功能主治	坚硬妨闷
功能主治	不能食
处方	鳖甲散_10
功能主治	久患劳疟
功能主治	瘴疟
处方	鳖甲散_11
功能主治	肥气
功能主治	在左胁下
功能主治	按之坚
功能主治	脉候弦而紧
功能主治	肌体萎瘦
处方	鳖甲散_12
功能主治	痔
功能主治	肛边生鼠乳
功能主治	气壅疼痛
处方	鳖甲散_13
功能主治	痞气
功能主治	结聚在胃管
功能主治	盘牢不动
功能主治	食饮渐少
处方	鳖甲散_14
中药名	露蜂房
功能主治	肺劳
功能主治	发歇寒热
功能主治	痰嗽喘促
功能主治	坐卧不得
处方	鳖甲散_15
中药名	肉苁蓉
中药名	杜仲
功能主治	伤寒后虚羸
功能主治	盗汗不止
功能主治	向晚憎寒
处方	鳖甲散_16
中药名	天门冬
中药名	恒山
功能主治	热病7日
功能主治	四肢疼痛
功能主治	热毒不退
处方	鳖甲散_17
功能主治	小儿症瘕
功能主治	壮热头痛
功能主治	呕吐腹痛
功能主治	寒热
功能主治	头发作穗
功能主治	及食癖
功能主治	乳癖
功能主治	气癖
处方	鳖甲散_18
中药名	牵牛子
功能主治	间日疟
功能主治	身体壮热
功能主治	时发憎寒
功能主治	大便秘涩
处方	鳖甲散_19
功能主治	妊娠疟疾
功能主治	寒热腹痛
处方	鳖甲散_20
功能主治	脾劳
处方	鳖甲散_21
功能主治	肩背疼闷
功能主治	心腹胀痛
功能主治	肠胃虚鸣
功能主治	脐下拘急
处方	鳖甲散_22
中药名	蛤粉
功能主治	吐血不止
处方	鳖甲散_23
功能主治	小儿寒热往来
功能主治	腹胀渐瘦
处方	鳖甲散_24
中药名	淡竹茹
中药名	恒山1杏仁许大
处方	鳖甲散_25
功能主治	时气8-9日
功能主治	肢节疼痛
处方	鳖甲散_26
中药名	蛇蜕皮
中药名	猪后悬蹄甲
中药名	猬皮
中药名	麝香
功能主治	妇人五种痔漏
功能主治	脓血淋漓
功能主治	或肿痛
功能主治	坚硬下坠
处方	鳖甲散_27
功能主治	寒疝积聚
功能主治	心腹结痛
功能主治	饮食不下
处方	鳖甲散_28
功能主治	妇人血气壅滞
功能主治	心腹胀满
功能主治	攻背膊疼闷
处方	鳖甲散_29
中药名	肉桂
中药名	川芎
中药名	白芷
剂量	1斤
中药名	天台乌药
剂量	7两
中药名	紫苏
剂量	3斤半
中药名	乌药
中药名	川乌
剂量	半个
功能主治	五劳七伤
功能主治	四时伤寒风疾
功能主治	浑身憎寒壮热
功能主治	骨节烦疼
功能主治	咳嗽痰涎
功能主治	酒色伤惫
功能主治	四肢倦怠
功能主治	及山岚瘴疟
功能主治	一切积气
功能主治	心腹膨胀
功能主治	呕吐泄泻
处方	鳖甲散_30
中药名	生地黄
剂量	2合
功能主治	伤寒8-9日不愈
功能主治	名曰坏伤寒
功能主治	诸药不能治者
处方	鳖甲散_31
功能主治	产后小腹内恶血结聚成块
功能主治	坚硬疼痛胀满
处方	鳖甲散_32
中药名	蜀漆叶
中药名	乌贼鱼骨
中药名	蜀椒
功能主治	劳疟
功能主治	久作不已
功能主治	日致憔悴
功能主治	势渐危困
处方	鳖甲散_33
剂量	1两3分
中药名	松罗
功能主治	脾疟
功能主治	无问新久
处方	鳖甲散_34
功能主治	留饮宿食成癖
处方	鳖甲散_35
功能主治	热病6日
功能主治	精神昏乱
功能主治	恍惚狂言
功能主治	其脉洪数
处方	鳖甲散_36
剂量	等分
功能主治	背肿劳倦
功能主治	肢节酸疼
功能主治	多困少力
功能主治	面黄体瘦
处方	鳖甲散_37
中药名	诃黎勒
功能主治	或小儿疳气
功能主治	腹胀泄痢
功能主治	小便赤涩
处方	鳖甲散_38
功能主治	伤寒发歇潮热
功能主治	头痛烦渴
功能主治	胸膈痰滞
处方	鳖甲散_39
剂量	半分
功能主治	妇人热劳
功能主治	发歇壮热
功能主治	四肢烦疼
功能主治	渐渐黄瘦
功能主治	心胸躁闷
处方	鳖甲散_40
中药名	白芍药
功能主治	虚劳寒热
功能主治	食少体痛
处方	鳖甲散_41
中药名	槐子
中药名	桑木耳
中药名	生姜屑
功能主治	下部生疮肿
功能主治	下血不绝
功能主治	腹痛不止
处方	鳖甲散_42
功能主治	脚气
处方	鳖甲散_43
中药名	桑螵蛸
剂量	5个
中药名	狼毒
中药名	虫
中药名	磁石
中药名	雄黄
中药名	雌黄
功能主治	消死肉
功能主治	散毒气
功能主治	使痈子转动宽软
功能主治	主瘰疬
功能主治	出脓血不止
处方	鳖甲散_44
中药名	五加皮1两
剂量	五加1两
功能主治	妇人寒热
功能主治	体瘦烦疼
处方	鳖甲散_45
中药名	川朴消
功能主治	小儿寒热结实
功能主治	胁下妨闷
功能主治	不欲乳食
处方	鳖甲散_46
中药名	川升麻
功能主治	骨蒸劳
功能主治	烦热
功能主治	胸背疼痛
功能主治	咳嗽气促
功能主治	小便赤黄
处方	鳖甲散_47
功能主治	小儿心腹气壅
功能主治	胀满虚热
功能主治	不能乳食
功能主治	大小肠气滞
处方	鳖甲散_48
中药名	防葵
功能主治	妇人积聚气
功能主治	心腹胀硬
功能主治	或时疼痛
功能主治	体瘦乏力
处方	鳖甲散_49
中药名	干漆
中药名	琥珀
功能主治	妇人疝瘕及血气
功能主治	心腹疼痛
处方	鳖甲散_50
功能主治	肝劳
功能主治	虚寒胁痛
功能主治	胀满气急
功能主治	昏不思饮食
处方	鳖甲散_51
功能主治	劳黄
功能主治	手足烦热
功能主治	小腹拘急
功能主治	时有虚汗
处方	鳖甲散_52
功能主治	虚劳症瘕
功能主治	或攻心腹
处方	鳖甲散_53
功能主治	肛边生结核
功能主治	疼痛寒热
处方	鳖甲散_54
功能主治	时气热毒不退
功能主治	脉候洪数
处方	鳖甲散_55
中药名	银柴胡
剂量	1钱半
中药名	胡连
中药名	地骨
中药名	生地
功能主治	骨蒸热
处方	鳖甲散_56
功能主治	饮食减少
功能主治	状似劳气
处方	鳖甲散_57
功能主治	热劳
功能主治	发渴寒热
处方	鳖甲散_58
功能主治	伤寒后脚气攻心闷乱
功能主治	腹满如石
功能主治	大小便涩
处方	鳖甲散_59
中药名	黑附子
中药名	干地黄
中药名	肉豆蔻
功能主治	五脏虚劳气攻注
功能主治	日渐瘦弱
功能主治	心下气满
处方	鳖甲散_60
功能主治	沙石淋
处方	鳖甲散_61
中药名	葛根
功能主治	时气3日未解
功能主治	心膈烦热
处方	鳖甲散_62
功能主治	伤寒8日
功能主治	热势深重
功能主治	大便结涩
功能主治	精神恍惚
功能主治	谵言妄语
处方	鳖甲散_63
中药名	生熟地黄
功能主治	妇人骨蒸劳疾
处方	鳖甲散_64
中药名	犀角屑
中药名	贝齿
功能主治	伤寒不解
功能主治	变成狐惑
功能主治	默默欲睡
功能主治	卧则不安
功能主治	咽喉干痛
功能主治	口内生疮
功能主治	恶闻食气
功能主治	时时下痢
处方	鳖甲散_65
功能主治	伤寒后肺痿劳嗽
功能主治	骨节烦闷
处方	鳖甲散_66
中药名	云母
中药名	龙骨
中药名	伏龙肝
中药名	白垩
中药名	生鲤鱼头
中药名	白僵蚕
功能主治	妇人五崩
功能主治	身体羸瘦
功能主治	咳逆烦满
功能主治	少气
功能主治	心下痛
功能主治	面上生疮
功能主治	腰大痛不可俯仰
功能主治	阴中肿
功能主治	如有疮之状
功能主治	毛中痒
功能主治	时痛
功能主治	与子脏相通
功能主治	常头眩
功能主治	颈急痛
功能主治	手足热
功能主治	气逆冲急
功能主治	烦不得卧
功能主治	腹中急痛
功能主治	食不下
功能主治	吞酸噫苦
功能主治	肠鸣
功能主治	漏下赤白黄黑汁
功能主治	大臭如胶污衣状
功能主治	热即下赤
功能主治	寒即下白
功能主治	多饮即下黑
功能主治	多食即下黄
功能主治	多药即下青
功能主治	喜怒心中常恐
功能主治	一身不可动摇
功能主治	大恶风寒
处方	鳖甲散_67
功能主治	伤寒后
功能主治	令病人不复发
处方	鳖甲散_68
中药名	猪悬蹄甲
剂量	7枚
功能主治	小儿痔疾
功能主治	疼痛
处方	鳖甲散_69
中药名	乌悔肉
功能主治	坏伤寒
功能主治	经10日以来未解
功能主治	热在胸膈
功能主治	烦闷不止
处方	鳖甲散_70
功能主治	伤寒后夹劳
功能主治	四肢烦热
功能主治	时时咳嗽
功能主治	心胸痰壅
处方	鳖甲散_71
功能主治	疳劳骨蒸
处方	鳖甲散_72
剂量	2分
功能主治	伤寒后经数日
功能主治	四肢烦闷
功能主治	喘息微急
功能主治	状如疟病
处方	鳖甲散_73
中药名	陈皮
中药名	青皮
中药名	三棱
中药名	莪术
中药名	麦芽
中药名	北柴胡
中药名	香附
功能主治	小儿哺露腹坚
功能主治	体热瘦弱
处方	鳖甲散_74
功能主治	心腹坚胀
功能主治	饮食不消
处方	鳖甲散_75
中药名	蒺藜子
功能主治	肋下结块
功能主治	连心腹痛
功能主治	食冷物即剧
来源	理伤续断方
来源	嵩崖尊生
来源	博济
来源	鸡峰
来源	圣惠
来源	传家秘宝
来源	活人书
来源	杂病源流犀烛
别名	黄芪鳖甲散
别名	鳖甲汤
别名	鳖甲犀角汤
方名	鳖甲当归散
处方	鳖甲当归散
功能主治	产后少腹结块
功能主治	痛不可忍
方名	鳖甲干漆散
处方	鳖甲干漆散
功能主治	妇人血瘕症癖
来源	产科发蒙
方名	鳖甲导经丸
处方	鳖甲导经丸
中药名	煎膏
中药名	赤芍
中药名	琥珀屑
剂量	6两
中药名	枣仁
中药名	丹皮
中药名	阿胶
中药名	白薇
中药名	玉竹
中药名	红花
剂量	1两5钱
功能主治	清心和肝
功能主治	补脾开胃
功能主治	主室女年过二十
功能主治	天癸闭而不通
功能主治	心
功能主治	肝
功能主治	脾三经虚极
功能主治	肌热
功能主治	齿垢耳黑
功能主治	目陷面黄
功能主治	胸膈满
功能主治	妨于食
功能主治	或寒热往来
功能主治	或梦与鬼交
功能主治	或善怒
功能主治	时时干咳
来源	陈素庵妇科补解
方名	鳖甲地黄汤
处方	鳖甲地黄汤_1
中药名	石斛
中药名	热地黄
中药名	人参肉桂
剂量	15克
功能主治	主热劳
功能主治	手足烦
功能主治	心怔悸
功能主治	妇人血室有干血
功能主治	身体羸瘠
功能主治	饮食不养肌肉
处方	鳖甲地黄汤_2
中药名	熟地黄
功能主治	身体赢瘠
功能主治	饮食不为肌肉
处方	鳖甲地黄汤_3
剂量	5钱
剂量	2钱
功能主治	烦热羸瘦
功能主治	脉弦濡数者
来源	济生
来源	医略六书
来源	重订严氏济生方
方名	鳖甲养阴煎
处方	鳖甲养阴煎
剂量	9克
中药名	龟版
中药名	枸杞
中药名	杭芍
中药名	首乌藤
剂量	6克
功能主治	养阴
功能主治	清热
功能主治	补益肝肾
功能主治	主妇人阴虚血亏
功能主治	经闭不行
功能主治	两颧色红
功能主治	潮热盗汗
功能主治	心烦不寐
功能主治	手心热
功能主治	口干唇红
功能主治	苔薄而黄
功能主治	脉细数
来源	中医妇科治疗学
方名	鳖甲五味散
处方	鳖甲五味散
中药名	松萝
功能主治	疟疾
功能主治	头痛
功能主治	骨肉酸楚
功能主治	手足逆冷
功能主治	口鼻喉舌干
功能主治	好饮水
功能主治	毛耸
功能主治	腰脊强
功能主治	欲反拗
功能主治	但先寒后热
功能主治	发作有时
功能主治	经7日以后者
方名	鳖甲乌梅丸
处方	鳖甲乌梅丸
剂量	1片
中药名	川常山
剂量	1两5分
中药名	草果仁
剂量	8钱
来源	活人心统
方名	鳖甲丸
处方	鳖甲丸_1
剂量	60克
功能主治	主鼓胀气急
功能主治	冲心硬痛
处方	鳖甲丸_2
剂量	37.5克
中药名	芎藭
中药名	巴豆
剂量	14枚
功能主治	主腹中痃气癖硬
功能主治	两胁脐下硬如石
功能主治	按之痛
功能主治	腹满不下食
功能主治	心闷咳逆
功能主治	积年不愈
处方	鳖甲丸_3
中药名	甜葶苈
中药名	川乌头
功能主治	主寒疝积聚
功能主治	结固不通
功能主治	绕脐切痛
功能主治	腹中胀满
功能主治	劳伤羸瘦
处方	鳖甲丸_4
功能主治	主胆虚不得眠
处方	鳖甲丸_5
功能主治	发热减食
功能主治	四肢少力
处方	鳖甲丸_6
中药名	苦葫芦
中药名	猪牙皂荚
中药名	石菖蒲
中药名	葶苈
中药名	甘遂
中药名	苦参
中药名	羚羊角
功能主治	去水
功能主治	调经血
功能主治	主妇人水分
功能主治	肢体肿满不消
功能主治	因经水不通者
处方	鳖甲丸_7
功能主治	妇人症痞冷气
功能主治	或时攻心腹痛
功能主治	四肢瘦弱
处方	鳖甲丸_8
功能主治	癖气发动
功能主治	或时发热
处方	鳖甲丸_9
功能主治	小儿乳癖
功能主治	面色黄瘁
功能主治	食乳微少
处方	鳖甲丸_10
功能主治	小儿潮热
功能主治	烦渴引饮
功能主治	胁腹满胀
功能主治	羸瘦多汗
处方	鳖甲丸_11
中药名	生薄荷汁
中药名	生青蒿汁
中药名	生地黄汁
中药名	生姜汁
剂量	1小盏
功能主治	羸瘦盗汗
功能主治	壮热烦渴
处方	鳖甲丸_12
中药名	土瓜根
功能主治	破血块
功能主治	气块
功能主治	主室女月经不调
功能主治	或少不利
功能主治	前后愆期
功能主治	日月浸久
功能主治	肌肉黄瘁
功能主治	胁下积气结硬
功能主治	时发刺痛
功能主治	渐成劳状
处方	鳖甲丸_13
功能主治	小儿痃气
功能主治	两胁下紧痛
功能主治	羸瘦
处方	鳖甲丸_14
中药名	豉
功能主治	瘴气数日
功能主治	寒热不定
处方	鳖甲丸_15
剂量	30铢
剂量	24铢
剂量	6铢
中药名	蛴螬
功能主治	少小腹中结坚
功能主治	胁下有疹
处方	鳖甲丸_16
中药名	蝮蛇脯
功能主治	痃气
功能主治	心忪
功能主治	暗风
处方	鳖甲丸_17
功能主治	胆虚不得睡
处方	鳖甲丸_18
功能主治	虚劳羸瘦
功能主治	四肢烦热疼痛
功能主治	吃食减少
功能主治	不得睡卧
处方	鳖甲丸_19
中药名	紫苏子
功能主治	痰嗽气急
功能主治	抽牵五脏不安
处方	鳖甲丸_20
中药名	蜂房
中药名	玄参
剂量	18铢
中药名	丹参
中药名	沙参
中药名	水蛭
中药名	牡丹
剂量	1两6铢
功能主治	女人小腹中积聚
功能主治	大如7-8寸盘面
功能主治	上下周流
功能主治	手足苦冷
功能主治	咳噫腥臭
功能主治	两胁热如火炙
功能主治	玉门冷如风吹
功能主治	经水不通
功能主治	或在月前
功能主治	或在月后
功能主治	或不孕
处方	鳖甲丸_21
剂量	半斤
中药名	蓬术
中药名	穿山甲
功能主治	久疟不愈
功能主治	胁下有块
功能主治	俗名疟母
处方	鳖甲丸_22
中药名	瓦楞子
功能主治	破瘀
功能主治	消痰
功能主治	削积
功能主治	主疟母
处方	鳖甲丸_23
功能主治	喘嗽烦满
功能主治	夜多虚汗
处方	鳖甲丸_24
中药名	乌头
中药名	朴消
功能主治	症癖气块
处方	鳖甲丸_25
功能主治	妇人风虚劳气
功能主治	时发寒热
功能主治	四肢羸瘦疼痛
处方	鳖甲丸_26
功能主治	吐血
处方	鳖甲丸_27
功能主治	虚烦不得眠睡
处方	鳖甲丸_28
功能主治	冷劳
功能主治	肩背疼痛
功能主治	腹胁积聚气
功能主治	吃食不消
处方	鳖甲丸_29
功能主治	伤寒结胸烦闷
功能主治	热毒气结聚不散
处方	鳖甲丸_30
功能主治	疲疟
功能主治	名曰疟母
处方	鳖甲丸_31
中药名	食茱萸
功能主治	鼓胀
功能主治	大小便不通
功能主治	气急浮肿
处方	鳖甲丸_32
功能主治	小儿经年下痢
功能主治	脱肛不收
功能主治	腹中冷
功能主治	肛中痛
处方	鳖甲丸_33
功能主治	石水
处方	鳖甲丸_34
功能主治	腹内积聚
功能主治	心肋急满
功能主治	时吐清水
功能主治	时恶寒
处方	鳖甲丸_35
功能主治	积年癖气
功能主治	及气块上攻心腹
处方	鳖甲丸_36
功能主治	妇人骨蒸劳
功能主治	胁下痃癖
功能主治	继之腹痛
功能主治	妇人月经不调
功能主治	肌肉黄瘦
处方	鳖甲丸_37
功能主治	疟疾屡散
功能主治	取汗既多
功能主治	发于昼者
处方	鳖甲丸_38
功能主治	羸瘦不任
处方	鳖甲丸_39
中药名	连翘
中药名	栝楼
中药名	矾石
功能主治	虚劳寒
功能主治	下痢不止
功能主治	肛边生肉如鼠乳
功能主治	在大孔傍
功能主治	时时脓出
功能主治	名牡痔者
处方	鳖甲丸_40
功能主治	心腹气痛
功能主治	食少羸瘦
处方	鳖甲丸_41
功能主治	壮热羸瘦
功能主治	心腹积聚
功能主治	食少无力
处方	鳖甲丸_42
中药名	桑菌
功能主治	小儿痃癖
功能主治	腹痛不食
功能主治	黄瘦
处方	鳖甲丸_43
功能主治	风入五脏
功能主治	忧患所积
功能主治	用力不节
功能主治	筋脉劳伤
功能主治	羸瘦不能饮食
处方	鳖甲丸_44
中药名	锉
功能主治	体瘦无力
功能主治	少思饮食
处方	鳖甲丸_45
中药名	龟甲
中药名	桑耳
功能主治	症瘕
功能主治	或寒或热
处方	鳖甲丸_46
功能主治	癖结
