方剂	方剂
功能主治	脸赤口疮
处方	鳖甲丸_61
中药名	乌蛇
中药名	槐耳
中药名	皂荚10挺
功能主治	及大肠疼痛
处方	鳖甲丸_62
功能主治	产后恶血不尽
功能主治	结成血瘕
功能主治	或时口干
处方	鳖甲丸_63
功能主治	小儿哺露
功能主治	腹坚
功能主治	体热羸瘦
处方	鳖甲丸_64
功能主治	小儿癖气
功能主治	手脚心热
处方	鳖甲丸_65
中药名	硇砂
中药名	水银
中药名	墨
功能主治	痃癖气块
处方	鳖甲丸_66
中药名	夜明砂
中药名	蝎虎
功能主治	腹中癖起
处方	鳖甲丸_67
功能主治	妊娠咳嗽
功能主治	不能下食
处方	鳖甲丸_68
功能主治	骨蒸
功能主治	腹中痃癖
功能主治	按之应手
功能主治	羸弱无力
处方	鳖甲丸_69
功能主治	妇人腹中积聚
功能主治	大如杯
功能主治	食噫腥臭
功能主治	四肢寒热
功能主治	恶血停滞
处方	鳖甲丸_70
中药名	狗脊
功能主治	三虫发痛
功能主治	面目黄
功能主治	不下食
处方	鳖甲丸_71
中药名	没药
功能主治	妇人痃癖
功能主治	及血气不调
功能主治	或时脐腹撮痛
处方	鳖甲丸_72
功能主治	经络不利
功能主治	渐加虚困
处方	鳖甲丸_73
功能主治	妇人月水不利
功能主治	腹胁妨闷
功能主治	背膊烦疼
处方	鳖甲丸_74
功能主治	羸弱不能乳食
处方	鳖甲丸_75
剂量	1枚
中药名	白石脂
中药名	白龙骨
中药名	肉豆蔻仁
中药名	白豆蔻仁
中药名	荜茇
中药名	牛乳
功能主治	霍乱
功能主治	一切冷气
功能主治	宿食不消
功能主治	胃冷呕哕
功能主治	并诸痰饮
处方	鳖甲丸_76
中药名	萎蕤
功能主治	疟久不愈
处方	鳖甲丸_77
功能主治	痃癖气块不消
功能主治	令人羸瘦
处方	鳖甲丸_78
功能主治	身体疼倦
处方	鳖甲丸_79
功能主治	寒热困劣
功能主治	浑身疼痛无力
处方	鳖甲丸_80
中药名	丁香
中药名	陈曲
功能主治	久积症瘕
处方	鳖甲丸_81
中药名	海粉
功能主治	疟母
处方	鳖甲丸_82
功能主治	骨蒸痃癖
功能主治	气攻腹胁疼痛
功能主治	四肢羸瘦少力
处方	鳖甲丸_83
功能主治	鼓胀气急
处方	鳖甲丸_84
中药名	河车
剂量	1具
中药名	秋石
中药名	豉心
中药名	草龙胆
中药名	黄药子
处方	鳖甲丸_85
功能主治	结块在胁下
来源	陈氏幼科秘诀
来源	续本事
来源	普济本事方
来源	医级
来源	顾松园医镜
来源	明医指掌
来源	金匮翼
来源	本事
来源	医方类聚
来源	外台秘要
来源	太平圣惠方
来源	医学入门
别名	七味鳖甲丸
方名	鳖甲
处方	鳖甲
中药名	鳖甲适量
中药名	焙焦研成细粉备用
中药名	生黄芪
剂量	120克
中药名	川牛膝
功能主治	据报道
功能主治	经重复验证后表明
功能主治	本方确系良方
来源	单验方
方名	鳖灰散
处方	鳖灰散
中药名	鳖甲头
功能主治	男子阴头痈不能治者
功能主治	及妇人阴疮脱肛
方名	鳖头足丸
处方	鳖头足丸
中药名	鳖头
中药名	足
剂量	40个
中药名	蚱蝉
中药名	蜣螂
中药名	牛黄
功能主治	小儿里急
功能主治	胁下支坚
方名	鳖头散
处方	鳖头散_1
功能主治	小儿尸注诸疾
处方	鳖头散_2
中药名	死鳖头
功能主治	脱肛历年不愈
处方	鳖头散_3
中药名	桂心1尺
功能主治	肛出
功能主治	妇人阴脱出
处方	鳖头散_4
中药名	莨菪子
功能主治	小儿脱肛
处方	鳖头散_5
中药名	东壁土
中药名	五色龙骨
中药名	卷柏
功能主治	小儿久痢脱肛
别名	猬皮散
方名	鳖头丸
处方	鳖头丸_1
剂量	23克
中药名	蜜虫
中药名	甘皮
功能主治	主小儿痞气
功能主治	胁下腹中有积聚坚痛
处方	鳖头丸_2
功能主治	小儿痞气
处方	鳖头丸_3
中药名	小猬皮
功能主治	小儿积冷久下愈后
功能主治	脱肛不愈
功能主治	肛中疼痛不得入者
来源	备急千金要方
方名	鳔风散
处方	鳔风散
中药名	鳔胶
中药名	皂矾
中药名	朱砂
功能主治	痫症
方名	鳔蜡丸
处方	鳔蜡丸
中药名	鳔
功能主治	诸风
方名	鲍鱼汤
处方	鲍鱼汤_1
中药名	鲍鱼
剂量	1斤半
中药名	麻子仁
中药名	地黄
功能主治	产后腹中虚极
功能主治	水道闭绝逆胀
功能主治	咽喉短气
处方	鲍鱼汤_2
中药名	艾
剂量	3枚
功能主治	妇人漏血崩中
方名	驳骨散
处方	驳骨散_1
中药名	栀子
中药名	侧柏
剂量	3斤
中药名	归尾
剂量	2斤
中药名	锦大黄
中药名	毛麝香
中药名	黄柏
中药名	骨碎补
中药名	薄荷
中药名	忍冬藤
中药名	透骨草
中药名	三七
中药名	蒲公英
中药名	金钗石斛
中药名	鸡骨香
中药名	自然铜
中药名	土鳖虫
功能主治	散瘀
功能主治	消肿
功能主治	止痛
功能主治	接骨
功能主治	主骨折伤
处方	驳骨散_2
剂量	24g
中药名	乳香
中药名	五加皮24g
剂量	五加24g
中药名	川红花
剂量	12g
中药名	威灵仙
中药名	苏木
中药名	五倍子
剂量	子12g
中药名	无名异
功能主治	主跌打损伤
功能主治	骨折
来源	中医外伤科学
来源	中医伤科学讲义
方名	驳骨丹
处方	驳骨丹
剂量	30g
剂量	15g
中药名	土鳖
剂量	9g
功能主治	活血祛瘀
功能主治	接骨续筋
方名	闭血汤
处方	闭血汤
剂量	根3钱
功能主治	补气生血
功能主治	止血同冲
功能主治	主老妇因虚
功能主治	不慎房帏
功能主治	以致血崩
功能主治	目暗晕地
功能主治	愈止愈多
来源	辨证录
方名	闭精散
处方	闭精散
功能主治	便溺失精
功能主治	溲出白液
来源	杏苑
方名	闭精丸
处方	闭精丸
中药名	菟丝子
中药名	韭子
功能主治	下虚
功能主治	白浊如米泔或若凝脂
方名	闭管丸
处方	闭管丸
中药名	槐花
中药名	石决明
功能主治	痔漏
来源	疡医大全
方名	闭真丸
处方	闭真丸_1
中药名	诃子
剂量	5枚
功能主治	主白淫不止
功能主治	小便余沥
功能主治	梦遗
处方	闭真丸_2
功能主治	白淫不止
功能主治	及有余沥
功能主治	兼治梦遗
来源	杏苑生春
方名	闭白丸
处方	闭白丸
中药名	螵蛸
功能主治	妇女胎前白带
来源	经验女科方
方名	闭毒散
处方	闭毒散
中药名	川芒消
中药名	射干
功能主治	眼赤肿痛
方名	闭关止渴汤
处方	闭关止渴汤_1
功能主治	清胃火
功能主治	填肾水
功能主治	主消渴
功能主治	胃热津枯
功能主治	肾水亏乏
功能主治	大渴恣饮
功能主治	易于饥饿
功能主治	得食渴减
功能主治	不食则渴尤甚
处方	闭关止渴汤_2
功能主治	消渴
方名	避邪丹
处方	避邪丹_1
中药名	桃奴
功能主治	邪祟疫疠
功能主治	精魅蛊惑诸病
处方	避邪丹_2
中药名	陈真香
中药名	甘松
中药名	云香
功能主治	避一切恶秽邪气
来源	鸡鸣录
来源	医统
方名	避秽香
处方	避秽香
功能主治	避邪秽
功能主治	主秽气触犯
功能主治	痘疮暴痒
来源	金鉴
方名	避秽丹
处方	避秽丹_1
中药名	北细辛
中药名	降香
功能主治	熏解秽恶
功能主治	主痘疹
处方	避秽丹_2
中药名	芫荽
功能主治	避秽
功能主治	解秽
来源	种痘新书
别名	避瘟丹
方名	避瘟明目清上散
处方	避瘟明目清上散
中药名	南薄荷
中药名	香白芷
剂量	6钱
中药名	贯众
剂量	1两2钱
中药名	大青叶
中药名	珠兰茶
剂量	4钱
中药名	明雄黄
中药名	上朱砂
中药名	上梅冰片
功能主治	芳香避瘟
功能主治	清热解毒
功能主治	主风热上壅
功能主治	目赤肿痛
功能主治	畏光羞明
来源	慈禧光绪医方选义
方名	避瘟散
处方	避瘟散_1
中药名	檀香
剂量	156g
中药名	零陵香
剂量	18g
剂量	42g
中药名	香榧草
剂量	180g
中药名	姜黄
中药名	玫瑰花
剂量	36g
剂量	1.4g
中药名	冰片
剂量	138g
剂量	662g
中药名	薄荷脑
功能主治	祛暑避秽
功能主治	开窍止痛
功能主治	用于夏季暑邪引起的头目眩晕
功能主治	头痛鼻塞
功能主治	恶心
功能主治	呕吐
功能主治	晕车晕船
处方	避瘟散_2
剂量	1.3千克
剂量	150克
剂量	350克
中药名	香排草
剂量	1.5千克
中药名	公丁香
剂量	300克
功能主治	芳香辟秽
功能主治	通窍止痛
功能主治	主伤风头痛
功能主治	鼻塞清涕
功能主治	暑令受热
来源	中国药典
来源	北京市中药成方选集
方名	避瘟丹
处方	避瘟丹_1
功能主治	预防瘟疫
处方	避瘟丹_2
中药名	生甘草
中药名	南苍术
中药名	黄乳香
功能主治	避瘟
处方	避瘟丹_3
中药名	白扁豆
中药名	管仲
中药名	山楂肉
中药名	广藿香叶
中药名	降香末
功能主治	一切时证伤寒
功能主治	四时瘟疫疟痢
处方	避瘟丹_4
中药名	真降香
功能主治	瘟疫不能传染
处方	避瘟丹_5
功能主治	解毒消肿镇静
功能主治	主瘟疫邪毒
处方	避瘟丹_6
功能主治	避瘟及一切秽恶邪气
处方	避瘟丹_7
中药名	台乌
中药名	草乌
中药名	紫草
中药名	藁本
中药名	荆芥
中药名	天麻
中药名	官桂
中药名	三奈
中药名	牙皂
功能主治	除瘟疫
功能主治	并散邪气
功能主治	凡宫舍久无人到
功能主治	积湿容易侵入
功能主治	预制此烧之
功能主治	可远此害
处方	避瘟丹_8
中药名	白檀
来源	济阳纲目
来源	医方易简
来源	慈禧光绪医方选议
来源	奇方类编
来源	泻疫新论
方名	避疫香粉
处方	避疫香粉
中药名	生大黄
剂量	4.5克
剂量	1.5克
中药名	皂角
剂量	3克
中药名	山奈
来源	鼠疫约编
方名	避疫汤
处方	避疫汤
中药名	苍术3厘
剂量	3钱3分
剂量	8钱5分
中药名	干葛6厘
剂量	1钱3分
中药名	甘草6厘
剂量	1钱6分
功能主治	时疫不染
功能主治	已病者愈
功能主治	未病者不染
来源	仙拈集
方名	避热术
处方	避热术
中药名	丹砂
功能主治	避热
功能主治	夏可重衣
来源	医心方
方名	避火丹
处方	避火丹
中药名	刘寄奴
中药名	生熟地榆
中药名	川军
功能主治	火伤烫伤
来源	全国中药成药处方集
方名	避岚气方
处方	避岚气方
功能主治	清头目
功能主治	避岚气
方名	避寒术
处方	避寒术_1
中药名	门冬
中药名	茯苓等分
功能主治	避寒
功能主治	冬可单衣
处方	避寒术_2
处方	避寒术_3
功能主治	冬日常不欲衣
功能主治	可入水中
处方	避寒术_4
中药名	术
剂量	3升
剂量	2升
功能主治	冬不用衣
方名	遍身疼痛丸
处方	遍身疼痛丸
中药名	全身当归
剂量	7钱
中药名	桔粳
功能主治	一切遍身骨节流注作痛
来源	鲁府禁方
方名	逼瘟丹
处方	逼瘟丹_1
中药名	生苍术
中药名	红枣
功能主治	时邪
处方	逼瘟丹_2
中药名	广陵零香
中药名	小陵零香
中药名	茅香
中药名	藿香
中药名	香附子
中药名	山奈子
中药名	降真香
中药名	樟脑
中药名	辰砂
中药名	焰消
中药名	鬼箭草
中药名	大皂角
剂量	24个
功能主治	瘟疫
来源	青囊秘传
方名	逼毒散
处方	逼毒散_1
中药名	白药子
中药名	赤小豆
功能主治	发背痈疽
功能主治	脓尽四面皮粘
功能主治	恐有脓毒攻起者
处方	逼毒散_2
功能主治	孕妇伤寒当汗者
处方	逼毒散_3
功能主治	痈疽
处方	逼毒散_4
功能主治	瘴气
功能主治	伤寒
处方	逼毒散_5
剂量	12两
中药名	香附子末
功能主治	诸般肿毒
来源	准绳·疡医
来源	宣明论
来源	卫济宝书
方名	边城十二味饮
处方	边城十二味饮
中药名	蒲黄
中药名	酒大黄
功能主治	杖伤
来源	外科证治全书
方名	辨毒散
处方	辨毒散
中药名	青盐
功能主治	一切毒及药毒
方名	辟邪避瘟丹
处方	辟邪避瘟丹
中药名	箭羽
中药名	茅术
中药名	连翘心
中药名	佩兰
功能主治	辟邪避瘟
来源	饲鹤亭集方
方名	辟邪膏
处方	辟邪膏
中药名	白胶香
中药名	鬼臼
功能主治	婴儿血气未实
功能主治	神气软弱
功能主治	经履鬼神粗恶暴气
功能主治	吐下青黄赤白
功能主治	水谷解离
功能主治	其状似发痫者
功能主治	但眼不上载
功能主治	脉不弦急
功能主治	名曰客忤
别名	沉香降气汤
方名	辟邪丸
处方	辟邪丸_1
中药名	炙甘草
中药名	使君子肉
中药名	夜明粉
中药名	干蟾灰
剂量	1钱5分
中药名	麝香少许
功能主治	惊风
功能主治	邪祟似痫
处方	辟邪丸_2
来源	育婴秘诀
来源	医宗必读
方名	辟谷木耳丸
处方	辟谷木耳丸
中药名	木耳
中药名	大豆
中药名	大枣
功能主治	辟谷
方名	辟谷丹
处方	辟谷丹
中药名	大黑豆
剂量	5斗
中药名	火麻子
剂量	3斗
功能主治	强健面貌
方名	辟温粉
处方	辟温粉_1
功能主治	主温疫
功能主治	转相染著者
处方	辟温粉_2
功能主治	断温疫
功能主治	主温疫转相染着至灭门
功能主治	延及外人
功能主治	无收视者
方名	败龟膏
处方	败龟膏
中药名	败龟
中药名	木鳖子仁
中药名	槐白皮
中药名	黄丹
中药名	清油
剂量	10两
中药名	松脂
功能主治	一切风毒气流注骨节筋脉
功能主治	结聚疼痛
方名	败龟版散
处方	败龟版散
中药名	补骨脂
中药名	熏陆香
功能主治	伤寒后腰痛
功能主治	行履不得
别名	败龟散
方名	败龟汤
处方	败龟汤
中药名	马牙消
功能主治	辟时气温疫
功能主治	令不相传染
方名	败鼓皮散
处方	败鼓皮散
中药名	败鼓皮
中药名	蘘荷根
功能主治	小儿中蛊
来源	医部全录
方名	败鼓皮丸
处方	败鼓皮丸
中药名	破旧铜鼓皮
剂量	1张
功能主治	湿滞肿满
功能主治	峻逐日久
功能主治	伤残脾阳
功能主治	更损肾阳之水臌
功能主治	腹大如箕
功能主治	手足反瘦
功能主治	逐渐坚胀
功能主治	按之如鼓
功能主治	旦食不能暮食
功能主治	腰酸足软
功能主治	溺色淡黄而少
功能主治	甚至小便癃闭
来源	重订通俗伤寒论
方名	败风膏
处方	败风膏
中药名	白及
中药名	剪草
中药名	水银豌豆大
功能主治	本脏风毒攻疰生疮
功能主治	及热毒气流注赤痒
方名	败酱饮
处方	败酱饮
中药名	败酱
中药名	竹茹
功能主治	产后恶露下不绝
方名	败酱草膏
处方	败酱草膏
中药名	鲜败酱草
剂量	10斤
功能主治	解毒清热
功能主治	除湿消肿
功能主治	主毛囊炎
功能主治	疖
功能主治	化脓性皮肤病
来源	赵炳南临床经验集
方名	败酱草散
处方	败酱草散
中药名	败酱草
中药名	炒生地
中药名	当归身
中药名	小川芎
中药名	川续断
中药名	甜竹茹
功能主治	产后冲任脉虚
功能主治	蓄泄无权
功能主治	血露日久不止
功能主治	脉虚数
方名	败酱汤
处方	败酱汤_1
功能主治	产后恶血不除
功能主治	与气相搏
功能主治	腹内(疒丂)痛
处方	败酱汤_2
功能主治	产后疹痛引腰
功能主治	腹中如锥刀所刺
处方	败酱汤_3
功能主治	产后疹痛引腰腹
功能主治	如锥刀所刺
处方	败酱汤_4
功能主治	附骨疽
处方	败酱汤_5
中药名	瞿麦
剂量	30枚
功能主治	产后恶血结聚
功能主治	血气冲心
功能主治	晕闷垂死
别名	败酱饮
方名	败蹄散
处方	败蹄散
中药名	驴蹄
剂量	20片
中药名	胡粉
功能主治	天柱疮
功能主治	生脊大椎上
功能主治	如钱大
功能主治	赤色
功能主治	出黄汁不止
方名	败蒲散
处方	败蒲散_1
中药名	败蒲
剂量	1合
功能主治	伤折内损
功能主治	瘀血不散
功能主治	妇人因血涩内瘀不散
功能主治	疼痛者
处方	败蒲散_2
中药名	旧麻甑带
中药名	乱发1鸡子大
剂量	49枚
功能主治	马坠伤损
功能主治	内有瘀血
功能主治	筋骨疼痛
处方	败蒲散_3
中药名	艾叶
功能主治	妊娠5-6日
功能主治	兼有恶血下
功能主治	日夜不止
别名	败蒲汤
方名	败草散
处方	败草散
中药名	多年盖屋烂草或盖墙烂草
中药名	不以多少
功能主治	解疮毒
功能主治	收湿气
功能主治	主痘疮过搔成疮
来源	得效
别名	败毒散
方名	败瘀止痛汤
处方	败瘀止痛汤
剂量	14粒
功能主治	通脾中伏热而下其瘀血
功能主治	主脾火内伏
功能主治	瘀血存注
功能主治	右胁大痛
功能主治	肿起如覆杯
功能主治	手不可按
功能主治	按之痛益甚
方名	败毒黄连丸
处方	败毒黄连丸_1
中药名	菊花
功能主治	脾胃二经风热所致之上下眼丹初起
功能主治	眼胞红热肿痛
处方	败毒黄连丸_2
功能主治	眼丹
来源	异授眼科
来源	外科大成
方名	败毒饮
处方	败毒饮
中药名	酒芩
中药名	川连
中药名	川贝
中药名	银花
中药名	力子
功能主治	清火解毒
功能主治	主麻疹色白
功能主治	血分有热
来源	麻症集成
方名	败毒荆防汤
处方	败毒荆防汤
中药名	江壳
功能主治	发散托毒
功能主治	主麻疹见标
方名	败毒良方
处方	败毒良方
中药名	广胶
中药名	怀生地黄
中药名	怀牛膝
功能主治	一切大毒
功能主治	发背
功能主治	疔毒
功能主治	鱼口
功能主治	对嘴
功能主治	无名肿毒
来源	幼科直言
方名	败毒膏
处方	败毒膏
中药名	麻油
中药名	铅丹
功能主治	一切痈疽
功能主治	及上攻下注风毒瘘疮
功能主治	疼痛焮肿
方名	败毒牛黄丹
处方	败毒牛黄丹
中药名	粉霜
中药名	珍珠
功能主治	疮疹出定
功能主治	脓汁不干
方名	败毒清凉饮
处方	败毒清凉饮
功能主治	痘疹
方名	败毒流气饮
处方	败毒流气饮_1
中药名	木瓜
中药名	桂枝
中药名	山栀仁
功能主治	小肠
功能主治	肾经伤于寒热邪气
功能主治	毒流于腿
功能主治	发为腿游风
处方	败毒流气饮_2
中药名	青木香
中药名	蓬莪术
功能主治	疏邪流气
功能主治	主流注初发
功能主治	堆核硬痛
功能主治	不可忍者
处方	败毒流气饮_3
功能主治	心肝二经热毒
功能主治	流滞于膀胱不行
功能主治	壅在皮肤
功能主治	而为火腰带毒
处方	败毒流气饮_4
功能主治	肾经寒气阻滞而成委中毒
处方	败毒流气饮_5
中药名	茴香
中药名	玄胡索
功能主治	心经伏热
功能主治	结聚成毒
功能主治	而为小肠流注
处方	败毒流气饮_6
处方	败毒流气饮_7
中药名	干葛
中药名	天花粉
功能主治	六腑与阴阳不调
功能主治	气上热壅
功能主治	而成瘘毒
功能主治	伤于脑经
功能主治	发为顶门痈
处方	败毒流气饮_8
中药名	小柴胡
功能主治	肝经气血上壅
功能主治	发为眉风毒
处方	败毒流气饮_9
中药名	鼠粘子
功能主治	脾胃心肺热气结聚成毒
功能主治	发为鬓疽
处方	败毒流气饮_10
中药名	金银花
功能主治	肾经虚
功能主治	热毒伤于大肠之经
功能主治	并聚成毒
功能主治	而为坐马痈
来源	疮疡经验全书
来源	万氏家抄方
别名	败毒和气散
方名	败毒流气散
处方	败毒流气散_1
中药名	玄胡
功能主治	肝经寒热不调
功能主治	风湿伏于肠胃
功能主治	结成痈毒
功能主治	发出皮肤
功能主治	而生上下肋痈
功能主治	及肾经虚寒
功能主治	湿毒结聚成风
功能主治	发为臀疽
处方	败毒流气散_2
来源	直指·附遗
别名	败毒流气饮
方名	败毒散加黄芩汤
处方	败毒散加黄芩汤
功能主治	瘟病壮热
功能主治	不恶风寒而渴
来源	医方考
别名	败毒加黄芩汤
方名	败毒散
处方	败毒散_1
功能主治	散寒祛湿
功能主治	益气解表
功能主治	气虚
功能主治	外感风寒湿表证
功能主治	头项强痛
功能主治	无汗
功能主治	鼻塞声重
功能主治	咳嗽有痰
功能主治	胸膈痞满
功能主治	舌淡苔白
功能主治	脉浮而按之无力
功能主治	流行性感冒
功能主治	支气管炎
功能主治	风湿性关节炎
功能主治	痢疾
功能主治	过敏性皮炎
功能主治	湿疹
功能主治	属外感风寒湿邪兼气虚者
功能主治	）
处方	败毒散_2
功能主治	解毒
功能主治	主痘疮邪盛
功能主治	红点未见之前热甚者
处方	败毒散_3
中药名	全蝎
中药名	僵蚕
中药名	白附子
中药名	甘草减半
功能主治	急惊风初起
功能主治	发热
功能主治	手足搐搦
功能主治	上宫天吊
功能主治	角弓反张
功能主治	并一切感冒风寒
功能主治	头疼发热
功能主治	咳嗽喘息
功能主治	及疮疹欲出发搐
处方	败毒散_4
功能主治	疔疮走动者
处方	败毒散_5
中药名	当归尾
中药名	川山甲
功能主治	一切无名肿毒
处方	败毒散_6
功能主治	脾毒下血
功能主治	脏腑疼痛
功能主治	频往圊厕
功能主治	后重里结
处方	败毒散_7
中药名	薄荷叶
中药名	山栀子
功能主治	遍身疮疥
功能主治	因淋洗涂搽
功能主治	逼毒归内而腹胀轻者
处方	败毒散_8
功能主治	小儿疮疹热盛
功能主治	心神烦躁
处方	败毒散_9
中药名	紫河车
功能主治	男子往来寒热
功能主治	妇人产后骨蒸血晕
处方	败毒散_10
功能主治	痘初发
功能主治	在疑似之间者
处方	败毒散_11
中药名	元参
中药名	公英
中药名	甲珠
功能主治	疔疮
处方	败毒散_12
中药名	骨皮
中药名	葱白
功能主治	疹不起
处方	败毒散_13
中药名	片姜黄
中药名	蝉蜕
中药名	焦楂
功能主治	热毒积于阳明
功能主治	风寒客于肌表
功能主治	虾蟆瘟初起
功能主治	两腮肿硬
功能主治	恶寒
功能主治	耳底抽痛
处方	败毒散_14
中药名	牛蒡子加倍
功能主治	痘疮壮热
功能主治	已出未快
功能主治	咽喉肿痛
功能主治	胸膈不利
处方	败毒散_15
功能主治	去毒浊
功能主治	主痈疽已破者
处方	败毒散_16
中药名	牛蒡
中药名	山楂
功能主治	壮热毒盛
处方	败毒散_17
中药名	粉草
功能主治	四种瘰疬
处方	败毒散_18
功能主治	脏毒协寒便血
功能主治	伤寒头痛
功能主治	项强睛暗
功能主治	鼻塞
功能主治	风痰及时疫
功能主治	岚瘴鬼疟
功能主治	或声如蛙鸣
功能主治	赤眼口疮
功能主治	湿毒流注
功能主治	脚肿腮肿
功能主治	喉痹毒痢
功能主治	诸疮斑疹
处方	败毒散_19
中药名	琉璃
中药名	楝树子
中药名	旧发网巾1顶
中药名	凤凰衣
剂量	49个
中药名	败龟版
功能主治	新久肿毒
处方	败毒散_20
功能主治	天行时疫
功能主治	头面肿大
功能主治	咽喉不利
功能主治	舌干口燥
功能主治	四时瘟疫
处方	败毒散_21
中药名	寒水石
中药名	花粉
中药名	紫河车草
功能主治	喉以上肿痛
功能主治	头大如斗
功能主治	面合眼缝
处方	败毒散_22
功能主治	小儿丹毒初发
功能主治	游走遍体
功能主治	燥闷腹胀
功能主治	啼哭
处方	败毒散_23
中药名	虫退
功能主治	解毒定痛
功能主治	主痘疮毒气壅盛而腹痛者
功能主治	其痛稍缓
功能主治	有作有止
功能主治	频频叫痛
功能主治	在脐以下痛
功能主治	或连腰而痛
功能主治	面赤唇紫
功能主治	手足不冷
处方	败毒散_24
功能主治	瘄疹大行时
功能主治	气急
处方	败毒散_25
功能主治	心脏热毒所发之夹肤疹
功能主治	痘疹初出时
功能主治	肤如汤沸
功能主治	疱点鲜红成片
功能主治	现没无定者
处方	败毒散_26
功能主治	辛温散表
功能主治	主风寒湿痢
功能主治	身痛
功能主治	脉浮紧
处方	败毒散_27
功能主治	发表
功能主治	主暑湿腹痛
功能主治	肠中作响
功能主治	痛泻交作
功能主治	寒热脉伏
功能主治	或寒热脉浮大
处方	败毒散_28
中药名	木鳖子
中药名	山栀
中药名	皂角子
中药名	蜈蚣
剂量	1条
处方	败毒散_29
中药名	黑参
功能主治	清胃利咽
功能主治	主疹后口臭
功能主治	口疮
功能主治	唇烂
功能主治	兼咽喉疼痛
处方	败毒散_30
中药名	蔓荆子
功能主治	积血年久
功能主治	脾胃壅热
功能主治	睑生风粟外障
功能主治	胞睑风粟
功能主治	如麻如米
功能主治	甚如杨梅之状
功能主治	摩擦瞳仁
功能主治	黑睛有翳
功能主治	久久渐昏
功能主治	流泪不止
处方	败毒散_31
功能主治	感冒声哑
来源	痘疹定论
来源	片玉心书
来源	外科启玄
来源	太平惠民和剂局方
来源	奇效良方
来源	摄生众妙方
来源	纲目拾遗
来源	仁端录
来源	回春
来源	痘麻绀珠
来源	症因脉治
来源	慈航集
来源	治疹全书
来源	眼科全书
来源	卫生总微
来源	外科真诠
来源	痘科辨要
别名	败毒散瘰汤
方名	败毒平胃散
处方	败毒平胃散
中药名	广皮
功能主治	风寒湿痢兼阳明胃病
功能主治	饱闷不食
功能主治	呕吐恶心
别名	平胃败毒散
方名	败毒圣神丹
处方	败毒圣神丹_1
剂量	9钱
功能主治	阳症疮疡
功能主治	成脓奔溃者
处方	败毒圣神丹_2
功能主治	内散痈疽
功能主治	主痈疽
功能主治	或生于背
功能主治	或生于胸腹之间
功能主治	或生于头面之上
功能主治	或生于手足之际
功能主治	皆是5日之内者
来源	石室秘录
方名	败毒和中散
处方	败毒和中散_1
功能主治	主痘症毒郁之甚
功能主治	其火上炎
功能主治	喉痛初起
处方	败毒和中散_2
中药名	陈枳壳
中药名	紫草茸
剂量	12只
中药名	如有闰月
剂量	13只
功能主治	清热解毒疏利
功能主治	主发热1日
功能主治	即见痘苗
功能主治	极痘稠密
功能主治	大热蒸蒸
功能主治	烦躁昏沉
功能主治	不省人事
功能主治	唇焦口渴
来源	痘疹传心录
方名	败毒加黄芩汤
处方	败毒加黄芩汤
中药名	人参败毒散除人参
中药名	加黄芩
功能主治	瘟病
来源	医方集解
方名	败毒丸
处方	败毒丸_1
中药名	干蝎
中药名	踯躅花
中药名	芜花
功能主治	伤寒阴阳二毒
处方	败毒丸_2
中药名	铅丹少许
功能主治	一切痈疮未破者
方名	败散瘰疬方
处方	败散瘰疬方
中药名	海螵蛸
功能主治	瘰疬
功能主治	马刀
来源	医学纲目
方名	败弩筋散
处方	败弩筋散
中药名	败弩筋
功能主治	金刃弓弩所中
功能主治	筋急不得屈伸
别名	败弩箭散
别名	地黄散
方名	败弩散
处方	败弩散
中药名	干枣
中药名	故败弩筋
功能主治	金疮弓弩所中
功能主治	筋急屈伸不得
来源	鬼遗
方名	败乳自退方
处方	败乳自退方
中药名	瓜蒌
中药名	大粉草
剂量	1寸
功能主治	乳初结胀不消
来源	医钞类编
方名	贝齿煎
处方	贝齿煎
中药名	豆豉
剂量	30粒
中药名	3年醋
功能主治	眼生肤翳
方名	贝齿散
处方	贝齿散_1
剂量	22.5克
剂量	22.克
剂量	12克
功能主治	主发背溃后
功能主治	脓水不尽
处方	贝齿散_2
中药名	真珠
中药名	龙脑
剂量	半钱
功能主治	目风热赤
功能主治	生肤翳
处方	贝齿散_3
剂量	4枚
中药名	葵子
中药名	滑石
功能主治	产后小便淋
功能主治	或时便血
功能主治	或如豆汁
功能主治	或如稠胶
处方	贝齿散_4
功能主治	排脓止痛
处方	贝齿散_5
中药名	贝子
功能主治	中射罔脯毒
功能主治	食饼臛中毒
处方	贝齿散_6
中药名	石燕
功能主治	妇人结热成淋
功能主治	小便引痛
功能主治	或时溺血
功能主治	或如小豆汁
处方	贝齿散_7
功能主治	目中生息肉
功能主治	肤翳
功能主治	稍长
功能主治	欲满目闭瞳子
功能主治	及生珠管
功能主治	亦治目中眯不出
处方	贝齿散_8
中药名	猪苓
功能主治	时气热毒流注小肠
功能主治	小便不通
处方	贝齿散_9
功能主治	眼久翳障不愈
处方	贝齿散_10
中药名	手爪甲
功能主治	眼生珠管
处方	贝齿散_11
中药名	文蛤
中药名	海蛤
中药名	光明砂
功能主治	去口气
功能主治	益牙齿
功能主治	揩齿令光白
处方	贝齿散_12
功能主治	风毒
功能主治	卒生胬肉欲满
功能主治	及生浮翳珠管
别名	点眼贝齿散
方名	贝莲猪肺
处方	贝莲猪肺
中药名	健猪肺
中药名	莲肉
功能主治	骨蒸劳热
